B04;B03;B02;B8A;feature_key
0.107;0.1152;0.1041;0.1073;1
0.1071;0.1148;0.1036;0.1173;1
0.1097;0.1175;0.1047;0.13;1
0.114;0.1218;0.1067;0.1476;1
0.1064;0.1155;0.104;0.1073;1
0.1063;0.1148;0.1038;0.1081;1
0.1068;0.1141;0.1037;0.1062;1
0.1062;0.1138;0.1035;0.1046;1
0.1068;0.1143;0.1039;0.1052;1
0.1064;0.1136;0.104;0.1068;1
0.107;0.1147;0.1045;0.106;1
0.1071;0.1153;0.1052;0.1069;1
0.108;0.1147;0.1052;0.1065;1
0.1082;0.1149;0.1054;0.1074;1
0.1087;0.1154;0.1053;0.1089;1
0.1093;0.1165;0.1057;0.1245;1
0.1068;0.114;0.1037;0.1062;1
0.1059;0.1142;0.104;0.1066;1
0.1065;0.1139;0.1039;0.1059;1
0.1071;0.1147;0.1041;0.107;1
0.1067;0.1149;0.1036;0.1065;1
0.1073;0.1154;0.104;0.1061;1
0.1077;0.1154;0.1051;0.1081;1
0.1072;0.1146;0.1047;0.1063;1
0.1073;0.1147;0.1054;0.1056;1
0.1066;0.1156;0.1048;0.1057;1
0.108;0.1134;0.1028;0.1234;1
0.1064;0.1109;0.101;0.1235;1
0.1064;0.1118;0.102;0.1105;1
0.1074;0.1135;0.1034;0.108;1
0.1081;0.1161;0.1048;0.1067;1
0.1113;0.1213;0.108;0.1295;1
0.1081;0.1171;0.106;0.1091;1
0.1088;0.1178;0.1069;0.1073;1
0.108;0.1163;0.1051;0.1088;1
0.1102;0.1239;0.1101;0.1034;1
0.1116;0.1256;0.1108;0.1045;1
0.11;0.1185;0.1072;0.1161;1
0.1086;0.1175;0.1073;0.1074;1
0.1084;0.1173;0.1057;0.1086;1
0.1085;0.1141;0.1039;0.1311;1
0.1101;0.1235;0.1092;0.1017;1
0.1103;0.1234;0.1097;0.1019;1
0.1106;0.1234;0.1109;0.1033;1
0.1107;0.125;0.11;0.1032;1
0.11;0.1198;0.1067;0.113;1
0.109;0.118;0.1067;0.1102;1
0.1093;0.1182;0.1074;0.1092;1
0.1074;0.1144;0.1043;0.1168;1
0.1096;0.123;0.11;0.1019;1
0.1099;0.1228;0.1096;0.1018;1
0.1102;0.122;0.1091;0.1017;1
0.1098;0.1224;0.109;0.1042;1
0.1095;0.1232;0.1104;0.1019;1
0.1113;0.1256;0.1101;0.103;1
0.1101;0.1206;0.107;0.1116;1
0.1081;0.1177;0.1066;0.1073;1
0.107;0.1143;0.1048;0.1116;1
0.1118;0.1254;0.1118;0.1051;1
0.1107;0.1231;0.1102;0.1036;1
0.1095;0.1225;0.1099;0.1022;1
0.1098;0.1234;0.1098;0.1025;1
0.1101;0.1218;0.1095;0.1027;1
0.1099;0.1214;0.1082;0.1014;1
0.1098;0.1224;0.1093;0.1014;1
0.1103;0.1235;0.1096;0.1022;1
0.1098;0.1241;0.1091;0.1043;1
0.11;0.1219;0.1087;0.1061;1
0.109;0.1175;0.1065;0.1103;1
0.1094;0.1183;0.1065;0.1109;1
0.1075;0.114;0.1041;0.1117;1
0.112;0.1245;0.112;0.1042;1
0.1109;0.1236;0.111;0.1031;1
0.1108;0.1235;0.1114;0.1021;1
0.1105;0.123;0.1096;0.102;1
0.1102;0.1223;0.1095;0.1019;1
0.1102;0.1227;0.1101;0.1015;1
0.1103;0.1221;0.11;0.1017;1
0.1099;0.1209;0.1088;0.1015;1
0.1086;0.1199;0.1078;0.1019;1
0.1093;0.1199;0.1082;0.1034;1
0.1091;0.1192;0.1078;0.1048;1
0.1111;0.1211;0.1084;0.14;1
0.1099;0.1204;0.1087;0.1129;1
0.1096;0.1185;0.1061;0.1104;1
0.1071;0.1133;0.1041;0.1138;1
0.1153;0.1287;0.1159;0.1052;1
0.1122;0.125;0.1115;0.1036;1
0.111;0.1234;0.1109;0.102;1
0.1107;0.123;0.1099;0.1016;1
0.1104;0.1225;0.1099;0.1012;1
0.1106;0.1226;0.1099;0.1016;1
0.1108;0.1232;0.1105;0.102;1
0.111;0.1229;0.1107;0.1022;1
0.1101;0.1209;0.1093;0.1024;1
0.1088;0.1197;0.1079;0.1014;1
0.1092;0.1192;0.1082;0.1033;1
0.1102;0.1188;0.1086;0.1048;1
0.1102;0.1201;0.1072;0.1216;1
0.1094;0.1188;0.1065;0.1101;1
0.1101;0.1199;0.1084;0.1105;1
0.1101;0.1179;0.107;0.1107;1
0.117;0.1307;0.117;0.1052;1
0.114;0.1269;0.1141;0.1037;1
0.1114;0.1247;0.1121;0.1022;1
0.1111;0.1235;0.1107;0.1017;1
0.1105;0.122;0.1098;0.1012;1
0.1103;0.1225;0.1107;0.1019;1
0.1101;0.1227;0.1108;0.1025;1
0.1109;0.1231;0.1104;0.1023;1
0.1113;0.1226;0.1108;0.102;1
0.1105;0.122;0.11;0.1018;1
0.111;0.1227;0.11;0.1029;1
0.111;0.1231;0.1098;0.1045;1
0.1101;0.1216;0.1095;0.104;1
0.1081;0.1158;0.104;0.1128;1
0.1074;0.1136;0.1026;0.1136;1
0.1169;0.1318;0.1173;0.1053;1
0.115;0.1256;0.1144;0.1039;1
0.1119;0.1255;0.114;0.1025;1
0.1115;0.1255;0.1127;0.1019;1
0.1106;0.125;0.1116;0.1013;1
0.1106;0.1223;0.1098;0.1022;1
0.1106;0.1224;0.1104;0.1031;1
0.1105;0.1238;0.1103;0.1024;1
0.1105;0.1226;0.1109;0.1016;1
0.1103;0.123;0.1105;0.1027;1
0.1108;0.1228;0.1101;0.1031;1
0.1108;0.123;0.1108;0.1038;1
0.1108;0.1223;0.1088;0.104;1
0.1107;0.122;0.1089;0.1071;1
0.1176;0.1348;0.1178;0.1061;1
0.1139;0.1233;0.1134;0.1034;1
0.1128;0.1238;0.1121;0.1026;1
0.111;0.1246;0.1131;0.102;1
0.111;0.126;0.1124;0.1014;1
0.1106;0.1249;0.1113;0.1017;1
0.1103;0.1204;0.1088;0.1021;1
0.1092;0.1191;0.1067;0.1056;1
0.1092;0.12;0.1087;0.1067;1
0.1106;0.1215;0.1099;0.1068;1
0.1111;0.1229;0.1099;0.1074;1
0.112;0.1237;0.1104;0.1057;1
0.1137;0.1246;0.1111;0.1062;1
0.1193;0.1382;0.119;0.1057;1
0.113;0.1236;0.1131;0.1024;1
0.1131;0.1221;0.1107;0.1028;1
0.1123;0.1252;0.1121;0.1021;1
0.1109;0.1249;0.1122;0.1015;1
0.111;0.1247;0.112;0.1013;1
0.1112;0.1237;0.1112;0.1012;1
0.1115;0.122;0.1096;0.1086;1
0.1138;0.1251;0.113;0.1113;1
0.1183;0.1317;0.1174;0.1121;1
0.1252;0.1411;0.1241;0.11;1
0.1233;0.1421;0.123;0.112;1
0.1144;0.1289;0.1143;0.1041;1
0.1141;0.1241;0.1114;0.1029;1
0.1129;0.1258;0.112;0.1019;1
0.1114;0.1256;0.1129;0.1011;1
0.1111;0.1251;0.1124;0.1014;1
0.1109;0.1246;0.1117;0.1018;1
0.11;0.1198;0.1101;0.1062;1
0.1103;0.1195;0.1083;0.1083;1
0.1163;0.1274;0.1135;0.112;1
0.1236;0.137;0.1225;0.1113;1
0.1144;0.1314;0.1154;0.1058;1
0.1117;0.1216;0.1107;0.103;1
0.112;0.1232;0.1115;0.1018;1
0.112;0.1243;0.1117;0.1007;1
0.1113;0.124;0.113;0.1015;1
0.1107;0.1242;0.112;0.1024;1
0.1102;0.1209;0.1106;0.1027;1
0.1098;0.1194;0.1095;0.103;1
0.1122;0.1227;0.1103;0.1094;1
0.1185;0.1308;0.1162;0.1098;1
0.1251;0.1386;0.1221;0.1107;1
0.1155;0.1337;0.1151;0.1059;1
0.113;0.1263;0.1127;0.1027;1
0.1117;0.1225;0.1105;0.1014;1
0.1115;0.1229;0.1113;0.1008;1
0.1111;0.1243;0.1126;0.1014;1
0.1108;0.1249;0.1122;0.1021;1
0.1104;0.1239;0.112;0.1018;1
0.11;0.1214;0.1102;0.1014;1
0.112;0.1241;0.1117;0.1022;1
0.1136;0.125;0.1118;0.1054;1
0.1194;0.1326;0.1176;0.1091;1
0.1132;0.1303;0.1142;0.106;1
0.112;0.1244;0.1122;0.1029;1
0.1109;0.1225;0.1109;0.101;1
0.1109;0.1234;0.1122;0.1014;1
0.111;0.1247;0.1135;0.1019;1
0.1111;0.1242;0.1117;0.1015;1
0.111;0.1245;0.1119;0.101;1
0.1114;0.1233;0.111;0.1013;1
0.1125;0.1256;0.1122;0.1027;1
0.1138;0.1247;0.1122;0.1063;1
0.1187;0.1317;0.1162;0.1104;1
0.1131;0.129;0.1139;0.1061;1
0.1126;0.128;0.1133;0.1045;1
0.111;0.1233;0.111;0.102;1
0.1109;0.123;0.1112;0.102;1
0.1109;0.1239;0.1123;0.1021;1
0.1105;0.1242;0.1125;0.1013;1
0.1112;0.1249;0.1127;0.1004;1
0.1115;0.1229;0.1113;0.1007;1
0.1114;0.121;0.11;0.1016;1
0.1132;0.124;0.1118;0.1055;1
0.1114;0.1209;0.1089;0.1113;1
0.114;0.1307;0.114;0.1052;1
0.1117;0.1264;0.1129;0.1035;1
0.1111;0.1241;0.1117;0.1029;1
0.1106;0.1238;0.1121;0.1023;1
0.111;0.124;0.1121;0.1011;1
0.1112;0.1241;0.1126;0.0999;1
0.112;0.1254;0.1124;0.1002;1
0.1113;0.123;0.1115;0.1006;1
0.1133;0.124;0.1117;0.1037;1
0.1115;0.1214;0.1086;0.1103;1
0.1142;0.1234;0.1094;0.1133;1
0.1192;0.1349;0.1174;0.1068;1
0.114;0.1313;0.1145;0.1038;1
0.1127;0.1252;0.113;0.1034;1
0.1109;0.1244;0.113;0.1026;1
0.1113;0.1246;0.1126;0.1012;1
0.1117;0.1239;0.1116;0.0998;1
0.1115;0.1244;0.1112;0.1004;1
0.1118;0.125;0.112;0.101;1
0.1117;0.1243;0.1116;0.1045;1
0.1141;0.124;0.1121;0.1139;1
0.1114;0.119;0.1081;0.1092;1
0.1141;0.13;0.1149;0.1045;1
0.1112;0.1241;0.112;0.1029;1
0.1117;0.1252;0.113;0.1013;1
0.112;0.1248;0.1123;0.0998;1
0.1114;0.1242;0.1118;0.1;1
0.111;0.125;0.1121;0.1002;1
0.1113;0.1243;0.112;0.1015;1
0.1117;0.1237;0.1113;0.1016;1
0.1112;0.1233;0.1111;0.104;1
0.1175;0.129;0.1135;0.1026;1
0.1124;0.1243;0.1127;0.1021;1
0.1121;0.1238;0.1127;0.1011;1
0.1123;0.1248;0.1119;0.1002;1
0.1115;0.1246;0.1122;0.1013;1
0.1115;0.1245;0.1119;0.1018;1
0.1142;0.1264;0.1136;0.1003;1
0.1372;0.1782;0.1512;0.1033;1
0.1366;0.1791;0.153;0.1019;1
0.1352;0.1775;0.151;0.1037;1
0.136;0.177;0.1512;0.1055;1
0.1385;0.1797;0.1519;0.1051;1
0.1402;0.1803;0.1531;0.1033;1
0.1383;0.1807;0.1532;0.102;1
0.1392;0.1812;0.1538;0.1011;1
0.1364;0.1786;0.1517;0.1028;1
0.1354;0.1761;0.1509;0.1036;1
0.1388;0.1792;0.153;0.1049;1
0.1398;0.1816;0.1531;0.1032;1
0.1405;0.1817;0.1535;0.1027;1
0.1398;0.1816;0.1541;0.1023;1
0.1394;0.1811;0.1542;0.1018;1
0.1372;0.1792;0.1529;0.1031;1
0.1374;0.1782;0.1517;0.1029;1
0.1399;0.1811;0.1543;0.1033;1
0.1401;0.1815;0.154;0.1022;1
0.1393;0.1807;0.1531;0.1023;1
0.1397;0.1815;0.154;0.1012;1
0.1394;0.1804;0.153;0.1022;1
0.1405;0.181;0.1528;0.1047;1
0.1417;0.1832;0.1544;0.1029;1
0.1405;0.1813;0.1535;0.1013;1
0.1381;0.1809;0.153;0.1023;1
0.1397;0.1815;0.1531;0.101;1
0.1391;0.1798;0.1529;0.1024;1
0.1418;0.1816;0.1538;0.1065;1
0.1424;0.1824;0.1548;0.1044;1
0.1401;0.1818;0.1543;0.1035;1
0.139;0.1813;0.1529;0.1041;1
0.1404;0.1812;0.1527;0.1031;1
0.1396;0.1808;0.1528;0.1028;1
0.1227;0.1281;0.1031;0.3705;2
0.1226;0.1297;0.1035;0.3717;2
0.121;0.1279;0.1022;0.3667;2
0.1216;0.1287;0.1025;0.365;2
0.1205;0.1287;0.1021;0.3585;2
0.1189;0.1275;0.1019;0.3465;2
0.1208;0.1252;0.1021;0.3282;2
0.1228;0.1272;0.1031;0.3492;2
0.1211;0.1299;0.1027;0.3852;2
0.1192;0.1281;0.1021;0.3647;2
0.1167;0.1238;0.1008;0.338;2
0.1199;0.1287;0.102;0.362;2
0.1215;0.1276;0.102;0.3486;2
0.1278;0.1289;0.107;0.3121;2
0.1224;0.1274;0.1051;0.2957;2
0.1238;0.1291;0.1053;0.3223;2
0.1198;0.1267;0.1025;0.3593;2
0.1215;0.1278;0.1027;0.3517;2
0.1241;0.1286;0.1052;0.3401;2
0.1228;0.1281;0.1041;0.3419;2
0.1198;0.1281;0.1023;0.3583;2
0.1188;0.1259;0.1001;0.3512;2
0.1191;0.1273;0.102;0.3618;2
0.1213;0.127;0.1043;0.3072;2
0.1248;0.1309;0.1059;0.3208;2
0.1208;0.1277;0.1037;0.3309;2
0.1261;0.13;0.1059;0.3283;2
0.1276;0.1309;0.1065;0.3412;2
0.1178;0.1242;0.1004;0.3369;2
0.1208;0.1257;0.1021;0.3594;2
0.1256;0.1306;0.1048;0.3727;2
0.1185;0.1237;0.1015;0.3315;2
0.1202;0.1252;0.1024;0.3299;2
0.1247;0.1278;0.1051;0.3234;2
0.1213;0.1264;0.1028;0.3376;2
0.1239;0.1293;0.1055;0.3207;2
0.1257;0.1326;0.106;0.3294;2
0.1278;0.13;0.1057;0.3131;2
0.1265;0.1311;0.1051;0.3402;2
0.1257;0.128;0.1044;0.3247;2
0.1185;0.1218;0.1001;0.2993;2
0.1208;0.1254;0.1008;0.3277;2
0.1237;0.1283;0.1026;0.3517;2
0.1172;0.1216;0.0997;0.3193;2
0.117;0.1241;0.1019;0.3475;2
0.1259;0.1289;0.1047;0.3531;2
0.1378;0.1352;0.1119;0.3504;2
0.133;0.1325;0.1089;0.3513;2
0.1227;0.1241;0.1023;0.3265;2
0.1277;0.1256;0.1035;0.3061;2
0.1268;0.1302;0.1069;0.3189;2
0.1288;0.1317;0.1062;0.3253;2
0.1323;0.1271;0.1034;0.3356;2
0.1272;0.1271;0.1023;0.3271;2
0.1306;0.127;0.1044;0.3131;2
0.1209;0.1241;0.1016;0.3004;2
0.1248;0.1303;0.1048;0.3447;2
0.1251;0.129;0.1024;0.3491;2
0.1237;0.1286;0.1029;0.3339;2
0.1255;0.1285;0.1043;0.3246;2
0.1224;0.1274;0.1032;0.3236;2
0.1179;0.1225;0.1007;0.3333;2
0.1165;0.1225;0.1005;0.3315;2
0.1231;0.1286;0.1038;0.3651;2
0.1309;0.1324;0.108;0.3774;2
0.1309;0.1289;0.1084;0.3192;2
0.1269;0.1232;0.1035;0.3097;2
0.1316;0.126;0.1038;0.3423;2
0.1288;0.128;0.1053;0.3082;2
0.1303;0.1299;0.1068;0.3196;2
0.1267;0.1281;0.1019;0.3376;2
0.1315;0.1265;0.102;0.3319;2
0.1327;0.1278;0.1029;0.3543;2
0.1244;0.1277;0.1028;0.3435;2
0.1282;0.1322;0.1053;0.3478;2
0.126;0.1301;0.1054;0.3354;2
0.1265;0.1282;0.1038;0.3359;2
0.1283;0.1299;0.1056;0.3236;2
0.1237;0.1287;0.1025;0.3344;2
0.1222;0.1282;0.102;0.3345;2
0.12;0.1246;0.1016;0.3312;2
0.1186;0.1229;0.1009;0.3366;2
0.1265;0.1308;0.1061;0.3526;2
0.1273;0.1284;0.1058;0.3471;2
0.1213;0.1214;0.1026;0.2993;2
0.1187;0.1189;0.1;0.2859;2
0.1293;0.1257;0.104;0.3245;2
0.1302;0.1249;0.1024;0.327;2
0.1311;0.1276;0.1056;0.3131;2
0.132;0.1317;0.1062;0.3232;2
0.131;0.1287;0.1037;0.3432;2
0.1297;0.1281;0.1036;0.3464;2
0.125;0.1285;0.1035;0.3416;2
0.1307;0.1326;0.1053;0.3554;2
0.1303;0.1318;0.1064;0.3532;2
0.128;0.1309;0.1052;0.3209;2
0.1267;0.1299;0.1051;0.3318;2
0.1257;0.1288;0.1049;0.3172;2
0.1231;0.1297;0.1029;0.3476;2
0.1217;0.131;0.1025;0.3637;2
0.1257;0.1381;0.1043;0.3917;2
0.1193;0.1305;0.1024;0.3778;2
0.122;0.1267;0.1034;0.3339;2
0.1236;0.1278;0.1032;0.3503;2
0.1317;0.1322;0.1088;0.3606;2
0.1303;0.1275;0.1083;0.3186;2
0.1184;0.1189;0.1004;0.2717;2
0.1164;0.1198;0.0992;0.2959;2
0.1229;0.1266;0.1032;0.3427;2
0.1287;0.1264;0.1033;0.3163;2
0.1324;0.1274;0.1031;0.3325;2
0.1377;0.1274;0.105;0.3211;2
0.1292;0.1304;0.1063;0.3124;2
0.125;0.1283;0.103;0.3255;2
0.126;0.1301;0.1044;0.3476;2
0.133;0.1356;0.1078;0.3518;2
0.1322;0.1331;0.1062;0.3505;2
0.1215;0.1235;0.1013;0.3092;2
0.1251;0.1287;0.1015;0.3389;2
0.1225;0.1269;0.1023;0.3198;2
0.1195;0.1272;0.1016;0.3233;2
0.1205;0.1258;0.1017;0.3245;2
0.1214;0.1289;0.1026;0.3652;2
0.1293;0.1382;0.1035;0.3978;2
0.1321;0.145;0.106;0.4071;2
0.1223;0.1349;0.1024;0.3785;2
0.12;0.1308;0.1038;0.3647;2
0.1187;0.1295;0.1034;0.3582;2
0.1196;0.1283;0.1026;0.3639;2
0.1223;0.1281;0.1037;0.3554;2
0.1231;0.1277;0.1039;0.3411;2
0.1309;0.1311;0.1073;0.3513;2
0.1333;0.131;0.1091;0.3543;2
0.1245;0.1236;0.1044;0.2879;2
0.1145;0.1154;0.0983;0.2502;2
0.1165;0.1211;0.1001;0.3151;2
0.1212;0.1262;0.1028;0.3373;2
0.1229;0.126;0.1032;0.3204;2
0.1277;0.1295;0.1059;0.3194;2
0.1428;0.134;0.11;0.3358;2
0.1308;0.1288;0.1063;0.3039;2
0.1292;0.1321;0.1071;0.3058;2
0.1302;0.1322;0.1072;0.3414;2
0.1342;0.1359;0.1086;0.3525;2
0.1294;0.1307;0.1052;0.3356;2
0.1204;0.1226;0.1003;0.3106;2
0.1245;0.1299;0.1031;0.356;2
0.1308;0.1337;0.1071;0.3523;2
0.1238;0.1315;0.1037;0.3519;2
0.121;0.1293;0.1024;0.3551;2
0.1227;0.1295;0.103;0.3503;2
0.121;0.128;0.1023;0.3423;2
0.1278;0.1369;0.1029;0.3876;2
0.1295;0.1403;0.1058;0.3778;2
0.1237;0.1377;0.1042;0.3891;2
0.1202;0.1285;0.103;0.3442;2
0.1218;0.129;0.1038;0.3438;2
0.1241;0.1308;0.1052;0.3492;2
0.123;0.1284;0.1042;0.3574;2
0.1361;0.1407;0.1137;0.3502;2
0.1207;0.1243;0.1024;0.3383;2
0.1215;0.1255;0.1025;0.3491;2
0.1287;0.1308;0.1065;0.343;2
0.1276;0.1307;0.1052;0.3435;2
0.1278;0.1264;0.1041;0.3103;2
0.1212;0.1186;0.1004;0.2711;2
0.116;0.1179;0.1001;0.2805;2
0.1223;0.1279;0.1024;0.3506;2
0.1192;0.1249;0.1014;0.3453;2
0.1206;0.1235;0.1022;0.3217;2
0.1252;0.1288;0.1044;0.344;2
0.128;0.1284;0.1064;0.3131;2
0.1191;0.1208;0.101;0.2804;2
0.1252;0.1298;0.1056;0.3071;2
0.1308;0.1333;0.1098;0.3169;2
0.1305;0.1318;0.1066;0.34;2
0.1264;0.127;0.1017;0.3255;2
0.1259;0.1259;0.1027;0.3118;2
0.1297;0.1334;0.1076;0.3585;2
0.1307;0.1334;0.1076;0.3364;2
0.1326;0.1329;0.1077;0.3352;2
0.1351;0.1353;0.1096;0.3469;2
0.1255;0.1293;0.1046;0.337;2
0.121;0.1266;0.1021;0.3342;2
0.1236;0.1308;0.1048;0.3528;2
0.1215;0.1264;0.1038;0.3332;2
0.1227;0.1313;0.1044;0.3615;2
0.1274;0.1359;0.104;0.3771;2
0.1295;0.1405;0.1056;0.4003;2
0.1291;0.1418;0.1044;0.4077;2
0.1208;0.1297;0.103;0.3558;2
0.1215;0.1292;0.1032;0.3535;2
0.1229;0.1301;0.103;0.3489;2
0.1204;0.1263;0.1016;0.3451;2
0.1384;0.1409;0.1148;0.3416;2
0.1205;0.1244;0.1019;0.3366;2
0.1202;0.1255;0.1021;0.3485;2
0.1207;0.1269;0.1033;0.3492;2
0.1183;0.1246;0.1022;0.3476;2
0.1319;0.1329;0.1093;0.3418;2
0.1297;0.1311;0.1073;0.328;2
0.1287;0.1289;0.1045;0.3279;2
0.1295;0.1281;0.1025;0.3243;2
0.1221;0.1236;0.1008;0.3064;2
0.1181;0.122;0.1006;0.3057;2
0.1207;0.1248;0.1016;0.3434;2
0.1206;0.1257;0.1025;0.3372;2
0.1267;0.128;0.1061;0.337;2
0.1213;0.1226;0.102;0.2989;2
0.1172;0.1196;0.1008;0.2696;2
0.1202;0.1248;0.1034;0.3108;2
0.1276;0.1339;0.1073;0.3336;2
0.1285;0.1312;0.1065;0.3161;2
0.1229;0.1239;0.1021;0.2915;2
0.125;0.1268;0.1023;0.3157;2
0.1288;0.1307;0.1053;0.3376;2
0.1261;0.1303;0.1054;0.3262;2
0.1254;0.1303;0.1064;0.3181;2
0.1267;0.1297;0.1055;0.3128;2
0.128;0.1264;0.1052;0.3204;2
0.1329;0.1333;0.1087;0.3397;2
0.1225;0.127;0.103;0.3334;2
0.1227;0.1307;0.1032;0.3781;2
0.1224;0.129;0.1012;0.3627;2
0.1217;0.129;0.1047;0.3539;2
0.1214;0.1299;0.1037;0.3537;2
0.1289;0.1416;0.1065;0.4078;2
0.1282;0.1396;0.1045;0.3966;2
0.125;0.1376;0.1046;0.399;2
0.1239;0.137;0.1048;0.3933;2
0.1217;0.13;0.1037;0.3469;2
0.1197;0.1283;0.103;0.3563;2
0.1211;0.128;0.1029;0.3555;2
0.1428;0.1477;0.12;0.3714;2
0.1222;0.1269;0.1023;0.3413;2
0.1223;0.1267;0.1024;0.3452;2
0.1211;0.1266;0.1023;0.3444;2
